region,tracked_revenue_usd,revenue_lost_to_refunds_usd,realized_revenue_usd,refund_rate,total_orders
BR,3064153.162467817,20478.364851833845,3043674.797615983,0.006285133898492574,99441
DE,154538.53161718333,14623.08159499171,139915.45002219162,0.0932077342588002,2017
GH,53206.469565665524,2940.94748290562,50265.522082759904,0.04861111111111111,2016
UK,28599562.147228085,2083942.1784717536,26515619.96875633,0.15463802170750812,53622
US,153585.2199999996,9601.090000000002,143984.1299999996,0.06739345887016848,2018
